MatchID,PlayerID,Points,Darts,Result
1,5,50,55,W
1,10,19,45,L
1,4,15,57,L
1,7,20,54,L
1,8,20,87,L
1,1,50,28,W
1,3,25,39,L
2,5,50,56,W
2,1,25,27,L
2,3,50,40,S
2,7,50,48,W
2,8,20,45,L
2,4,50,22,W
2,10,20,39,L
3,8,50,37,W
3,7,8,42,L
3,5,10,30,L
3,3,50,36,W
3,4,20,39,L
3,10,50,38,W
3,1,50,39,W
4,3,15,42,L
4,1,50,22,W
4,8,20,48,L
4,5,20,42,L
4,7,50,26,W
4,4,20,24,L
4,10,10,30,L
5,8,25,60,L
5,3,50,28,W
5,5,50,40,W
5,1,50,28,W
5,4,25,36,L
5,7,50,58,W
5,10,18,42,L
6,7,50,48,W
6,1,50,20,W
6,6,50,85,W
6,4,50,26,W
6,8,17,27,L
6,10,18,39,L
6,5,10,27,L
7,5,17,39,L
7,10,18,36,L
7,8,50,58,W
7,4,50,31,W
7,6,7,21,L
7,7,19,78,L
7,1,50,23,W
8,4,50,31,W
8,1,50,54,W
8,7,50,40,W
8,3,50,34,W
8,8,50,43,W
8,9,50,49,W
8,10,17,42,L
9,3,50,46,W
9,1,50,41,W
9,7,50,68,W
9,10,50,81,W
9,4,50,63,W
9,8,50,51,W
9,2,50,34,W
